filepath,style index
/media/andrea/New Volume/train/train/59792.jpg,4
/media/andrea/New Volume/train/train/16876.jpg,4
/media/andrea/New Volume/train/train/28908.jpg,2
/media/andrea/New Volume/train/train/71435.jpg,1
/media/andrea/New Volume/train/train/63416.jpg,1
/media/andrea/New Volume/train/train/4147.jpg,1
/media/andrea/New Volume/train/train/50097.jpg,4
/media/andrea/New Volume/train/train/45276.jpg,2
/media/andrea/New Volume/train/train/100829.jpg,2
/media/andrea/New Volume/train/train/66723.jpg,1
/media/andrea/New Volume/train/train/88558.jpg,2
/media/andrea/New Volume/train/train/49757.jpg,0
/media/andrea/New Volume/train/train/17680.jpg,2
/media/andrea/New Volume/train/train/47501.jpg,2
/media/andrea/New Volume/train/train/16091.jpg,4
/media/andrea/New Volume/train/train/53841.jpg,0
/media/andrea/New Volume/train/train/5303.jpg,2
/media/andrea/New Volume/train/train/49829.jpg,2
/media/andrea/New Volume/train/train/97649.jpg,2
/media/andrea/New Volume/train/train/81912.jpg,0
/media/andrea/New Volume/train/train/5145.jpg,4
/media/andrea/New Volume/train/train/17146.jpg,0
/media/andrea/New Volume/train/train/31655.jpg,2
/media/andrea/New Volume/train/train/7700.jpg,4
/media/andrea/New Volume/train/train/1089.jpg,4
/media/andrea/New Volume/train/train/97348.jpg,4
/media/andrea/New Volume/train/train/55948.jpg,2
/media/andrea/New Volume/train/train/8362.jpg,2
/media/andrea/New Volume/train/train/17862.jpg,2
/media/andrea/New Volume/train/train/40855.jpg,2
/media/andrea/New Volume/train/train/393.jpg,2
/media/andrea/New Volume/train/train/8250.jpg,0
/media/andrea/New Volume/train/train/92545.jpg,4
/media/andrea/New Volume/train/train/57598.jpg,2
/media/andrea/New Volume/train/train/60044.jpg,4
/media/andrea/New Volume/train/train/93353.jpg,0
/media/andrea/New Volume/train/train/26366.jpg,2
/media/andrea/New Volume/train/train/77220.jpg,2
/media/andrea/New Volume/train/train/71149.jpg,0
/media/andrea/New Volume/train/train/21812.jpg,2
/media/andrea/New Volume/train/train/70892.jpg,2
/media/andrea/New Volume/train/train/75881.jpg,2
/media/andrea/New Volume/train/train/71922.jpg,2
/media/andrea/New Volume/train/train/72083.jpg,2
/media/andrea/New Volume/train/train/74123.jpg,4
/media/andrea/New Volume/train/train/45753.jpg,1
/media/andrea/New Volume/train/train/37256.jpg,0
/media/andrea/New Volume/train/train/54668.jpg,0
/media/andrea/New Volume/train/train/94592.jpg,2
/media/andrea/New Volume/train/train/67798.jpg,2
/media/andrea/New Volume/train/train/102940.jpg,2
/media/andrea/New Volume/train/train/28179.jpg,2
/media/andrea/New Volume/train/train/3016.jpg,0
/media/andrea/New Volume/train/train/78766.jpg,2
/media/andrea/New Volume/train/train/86166.jpg,1
/media/andrea/New Volume/train/train/41945.jpg,1
/media/andrea/New Volume/train/train/64311.jpg,2
/media/andrea/New Volume/train/train/52850.jpg,0
/media/andrea/New Volume/train/train/90288.jpg,2
/media/andrea/New Volume/train/train/38869.jpg,2
/media/andrea/New Volume/train/train/90385.jpg,4
/media/andrea/New Volume/train/train/9125.jpg,2
/media/andrea/New Volume/train/train/92192.jpg,0
/media/andrea/New Volume/train/train/92742.jpg,2
/media/andrea/New Volume/train/train/19749.jpg,2
/media/andrea/New Volume/train/train/98622.jpg,0
/media/andrea/New Volume/train/train/45137.jpg,4
/media/andrea/New Volume/train/train/1534.jpg,2
/media/andrea/New Volume/train/train/88038.jpg,2
/media/andrea/New Volume/train/train/46324.jpg,0
/media/andrea/New Volume/train/train/2313.jpg,4
/media/andrea/New Volume/train/train/43988.jpg,4
/media/andrea/New Volume/train/train/2807.jpg,2
/media/andrea/New Volume/train/train/72920.jpg,4
/media/andrea/New Volume/train/train/31283.jpg,2
/media/andrea/New Volume/train/train/55651.jpg,2
/media/andrea/New Volume/train/train/58752.jpg,4
/media/andrea/New Volume/train/train/79344.jpg,4
/media/andrea/New Volume/train/train/101947.jpg,1
/media/andrea/New Volume/train/train/102518.jpg,2
/media/andrea/New Volume/train/train/74814.jpg,2
/media/andrea/New Volume/train/train/75659.jpg,2
/media/andrea/New Volume/train/train/1623.jpg,4
/media/andrea/New Volume/train/train/14749.jpg,2
/media/andrea/New Volume/train/train/9442.jpg,3
/media/andrea/New Volume/train/train/95254.jpg,4
/media/andrea/New Volume/train/train/71531.jpg,2
/media/andrea/New Volume/train/train/22787.jpg,4
/media/andrea/New Volume/train/train/6812.jpg,4
/media/andrea/New Volume/train/train/85031.jpg,4
/media/andrea/New Volume/train/train/66707.jpg,4
/media/andrea/New Volume/train/train/55963.jpg,4
/media/andrea/New Volume/train/train/40246.jpg,2
/media/andrea/New Volume/train/train/59451.jpg,2
/media/andrea/New Volume/train/train/17485.jpg,2
/media/andrea/New Volume/train/train/82619.jpg,2
