filepath,style index,style name
/media/andrea/New Volume/train/train/59792.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/82352.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/16876.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/28908.jpg,2,Realism
/media/andrea/New Volume/train/train/71435.jpg,1,Cubism
/media/andrea/New Volume/train/train/77921.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/63416.jpg,1,Cubism
/media/andrea/New Volume/train/train/4147.jpg,1,Cubism
/media/andrea/New Volume/train/train/19385.jpg,1,Cubism
/media/andrea/New Volume/train/train/633.jpg,2,Realism
/media/andrea/New Volume/train/train/50097.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/19834.jpg,2,Realism
/media/andrea/New Volume/train/train/45276.jpg,2,Realism
/media/andrea/New Volume/train/train/80938.jpg,2,Realism
/media/andrea/New Volume/train/train/23209.jpg,2,Realism
/media/andrea/New Volume/train/train/100829.jpg,2,Realism
/media/andrea/New Volume/train/train/95360.jpg,0,Impressionism
/media/andrea/New Volume/train/train/66723.jpg,1,Cubism
/media/andrea/New Volume/train/train/88558.jpg,2,Realism
/media/andrea/New Volume/train/train/49757.jpg,0,Impressionism
/media/andrea/New Volume/train/train/17680.jpg,2,Realism
/media/andrea/New Volume/train/train/47501.jpg,2,Realism
/media/andrea/New Volume/train/train/16091.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/53841.jpg,0,Impressionism
/media/andrea/New Volume/train/train/86917.jpg,2,Realism
/media/andrea/New Volume/train/train/5303.jpg,2,Realism
/media/andrea/New Volume/train/train/49829.jpg,2,Realism
/media/andrea/New Volume/train/train/97649.jpg,2,Realism
/media/andrea/New Volume/train/train/81912.jpg,0,Impressionism
/media/andrea/New Volume/train/train/5145.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/17146.jpg,0,Impressionism
/media/andrea/New Volume/train/train/31655.jpg,2,Realism
/media/andrea/New Volume/train/train/7700.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/30376.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/1089.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/97348.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/5241.jpg,0,Impressionism
/media/andrea/New Volume/train/train/55948.jpg,2,Realism
/media/andrea/New Volume/train/train/8362.jpg,2,Realism
/media/andrea/New Volume/train/train/9348.jpg,2,Realism
/media/andrea/New Volume/train/train/8943.jpg,0,Impressionism
/media/andrea/New Volume/train/train/17862.jpg,2,Realism
/media/andrea/New Volume/train/train/40855.jpg,2,Realism
/media/andrea/New Volume/train/train/393.jpg,2,Realism
/media/andrea/New Volume/train/train/254.jpg,2,Realism
/media/andrea/New Volume/train/train/8250.jpg,0,Impressionism
/media/andrea/New Volume/train/train/99956.jpg,0,Impressionism
/media/andrea/New Volume/train/train/92545.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/57598.jpg,2,Realism
/media/andrea/New Volume/train/train/60044.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/93353.jpg,0,Impressionism
/media/andrea/New Volume/train/train/26366.jpg,2,Realism
/media/andrea/New Volume/train/train/64794.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/77220.jpg,2,Realism
/media/andrea/New Volume/train/train/95477.jpg,0,Impressionism
/media/andrea/New Volume/train/train/71149.jpg,0,Impressionism
/media/andrea/New Volume/train/train/21812.jpg,2,Realism
/media/andrea/New Volume/train/train/52598.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/70892.jpg,2,Realism
/media/andrea/New Volume/train/train/75881.jpg,2,Realism
/media/andrea/New Volume/train/train/71922.jpg,2,Realism
/media/andrea/New Volume/train/train/28789.jpg,2,Realism
/media/andrea/New Volume/train/train/72083.jpg,2,Realism
/media/andrea/New Volume/train/train/70088.jpg,2,Realism
/media/andrea/New Volume/train/train/74123.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/60161.jpg,2,Realism
